,DateTime,Open,Close,High,Low,Volume
865,2022-10-31 22:25:00,102.33,102.33,102.33,102.31,33
866,2022-10-31 22:26:00,102.33,102.23,102.33,102.23,11
867,2022-10-31 22:27:00,102.23,102.23,102.23,102.23,0
868,2022-10-31 22:28:00,102.28,102.35,102.35,102.27,4
869,2022-10-31 22:29:00,102.35,102.35,102.35,102.35,0
870,2022-10-31 22:30:00,102.35,102.36,102.36,102.3,22
871,2022-10-31 22:31:00,102.36,102.36,102.36,102.36,1
872,2022-10-31 22:32:00,102.36,102.36,102.37,102.36,18
873,2022-10-31 22:33:00,102.35,102.36,102.36,102.35,5
874,2022-10-31 22:34:00,102.36,102.32,102.36,102.32,7
875,2022-10-31 22:35:00,102.33,102.32,102.33,102.32,2
876,2022-10-31 22:36:00,102.36,102.36,102.36,102.36,5
877,2022-10-31 22:37:00,102.36,102.36,102.36,102.36,3
878,2022-10-31 22:38:00,102.36,102.36,102.36,102.36,2
879,2022-10-31 22:39:00,102.36,102.36,102.36,102.36,0
880,2022-10-31 22:40:00,102.36,102.36,102.36,102.36,0
881,2022-10-31 22:41:00,102.3,102.3,102.3,102.3,20
882,2022-10-31 22:42:00,102.31,102.33,102.33,102.3,14
883,2022-10-31 22:43:00,102.31,102.31,102.31,102.31,4
884,2022-10-31 22:44:00,102.31,102.3,102.31,102.3,6
885,2022-10-31 22:45:00,102.28,102.33,102.33,102.28,6
886,2022-10-31 22:46:00,102.3,102.3,102.3,102.3,3
887,2022-10-31 22:47:00,102.35,102.33,102.35,102.33,3
888,2022-10-31 22:48:00,102.35,102.35,102.35,102.35,4
889,2022-10-31 22:49:00,102.33,102.33,102.33,102.33,1
890,2022-10-31 22:50:00,102.36,102.36,102.36,102.36,9
891,2022-10-31 22:51:00,102.36,102.36,102.36,102.36,0
892,2022-10-31 22:52:00,102.36,102.36,102.36,102.36,1
893,2022-10-31 22:53:00,102.36,102.36,102.36,102.36,0
894,2022-10-31 22:54:00,102.31,102.31,102.31,102.31,1
895,2022-10-31 22:55:00,102.35,102.35,102.35,102.35,1
896,2022-10-31 22:56:00,102.35,102.35,102.35,102.35,4
897,2022-10-31 22:57:00,102.35,102.35,102.35,102.35,0
